,id,filter_type,like_count,comment_count,num_tag,a_raw_name,result,foodornot,raw_url
1449,1530215655479398722_1417641258,0,-0.345455876,0,-0.725393445,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879525_1843980145865126_2414234570581868544_n.jpg?ig_cache_key=MTUzMDIxMzA2NzQ4NDc0MjM2NA%3D%3D.2&se=7
1464,1530208651855776464_216606785,0,-0.325374299,0,-0.924998352,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888786_261697600972785_8712705167004270592_n.jpg?ig_cache_key=MTUzMDIwODY1MTg1NTc3NjQ2NA%3D%3D.2&se=7
1490,1530201292562014917_917905977,0,-0.297569038,2,-0.725393445,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812887_291214471343480_1952843160438702080_n.jpg?ig_cache_key=MTUzMDIwMTI5MjU2MjAxNDkxNw%3D%3D.2&se=7
1516,1530200379420492990_4109969808,1,-0.337732193,0,-1.12460326,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18947830_1405263616187841_2333951353962889216_n.jpg?ig_cache_key=MTUzMDIwMDM3OTQyMDQ5Mjk5MA%3D%3D.2&se=7
1542,1530197118408810169_30766137,0,-0.300658512,2,-0.425986083,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879033_232125213945880_6079151682044821504_n.jpg?ig_cache_key=MTUzMDE5NzExODQwODgxMDE2OQ%3D%3D.2&se=7
1560,1530194226829486521_2260050311,0,-0.34391114,3,-0.32618363,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879394_241938799626453_3322823735135698944_n.jpg?ig_cache_key=MTUzMDE5Mzg1MTM3MjAyMjQ0Nw%3D%3D.2
1590,1530174576792122462_5408914332,0,-0.339276929,1,-1.12460326,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879284_457587744578413_8472164471324803072_n.jpg?ig_cache_key=MTUzMDE3NDU3Njc5MjEyMjQ2Mg%3D%3D.2&se=7
1605,1530148868745042272_5536772706,1,-0.34854535,0,-0.525788537,1,0.03,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879032_903264736494219_8728153670446743552_n.jpg?ig_cache_key=MTUzMDE0ODg2ODc0NTA0MjI3Mg%3D%3D.2&se=7
1628,1530128585535291808_3597964356,0,-0.323829562,0,-0.525788537,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812768_1104367779706946_8041320303109865472_n.jpg?ig_cache_key=MTUzMDEyODU4NTUzNTI5MTgwOA%3D%3D.2&se=7
1659,1530126734078569866_4047584681,1,-0.345455876,9,-1.12460326,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812866_449179238775018_7465347368896954368_n.jpg?ig_cache_key=MTUzMDEyNjczNDA3ODU2OTg2Ng%3D%3D.2&se=7
1677,1530122457524272548_664049347,0,-0.340821666,0,-0.425986083,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888438_1875556149378202_2227285939950977024_n.jpg?ig_cache_key=MTUzMDEyMjQ1NzUyNDI3MjU0OA%3D%3D.2&se=7
1700,1530103656530850033_4573497175,0,-0.330008509,5,-1.024800806,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18888558_113805335881233_6799540671087640576_n.jpg?ig_cache_key=MTUzMDEwMzY1NjUzMDg1MDAzMw%3D%3D.2
1725,1530046652684277545_1480693921,0,-0.285211144,3,-0.525788537,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18878958_243437902806494_8771062824685273088_n.jpg?ig_cache_key=MTUzMDA0NjY1MjY4NDI3NzU0NQ%3D%3D.2&se=7
1756,1530038621095277318_1522667847,0,-0.36244798,1,-1.024800806,1,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879065_1326534630797700_4619552366994128896_n.jpg?ig_cache_key=MTUzMDAzODAyMDQ4NzcxMjM0NA%3D%3D.2&se=7
1782,1529871746356872274_4196108312,0,-0.347000613,3,-1.12460326,0,0.03,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812062_100630313876133_1471232779432755200_n.jpg?ig_cache_key=MTUyOTg3MTc0NjM1Njg3MjI3NA%3D%3D.2&se=7
1809,1529830489849123473_1247901416,0,-0.14155063,0,-1.324208168,0,0,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812912_1774176342892900_6749127178190848000_n.jpg?ig_cache_key=MTUyOTgzMDQ4OTg0OTEyMzQ3Mw%3D%3D.2&se=7
1837,1530281254845687669_3286892816,0,-0.269763777,4,-1.324208168,1,0,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879591_103101263627592_7364623548217819136_n.jpg?ig_cache_key=MTUzMDI4MTI1NDg0NTY4NzY2OQ%3D%3D.2&se=7
1868,1530280628502042909_1639764176,0,-0.215697992,4,-1.324208168,1,0,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879272_318921685207076_3059223948454526976_n.jpg?ig_cache_key=MTUzMDI4MDYyODUwMjA0MjkwOQ%3D%3D.2&se=7
1891,1530230164801501084_4871263682,0,-0.308382195,3,-1.324208168,0,0,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879221_1871396686456961_7545653168453976064_n.jpg?ig_cache_key=MTUzMDIzMDE2NDgwMTUwMTA4NA%3D%3D.2&se=7
1918,1530156294038972164_3286892816,0,-0.214153256,4,-1.324208168,1,0,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18878985_481011285583764_5411146235857862656_n.jpg?ig_cache_key=MTUzMDE1NjI5NDAzODk3MjE2NA%3D%3D.2&se=7
1935,1530155911610889261_1639764176,0,-0.133826946,11,-1.324208168,1,0,1,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18879289_423214271399271_4410786453550792704_n.jpg?ig_cache_key=MTUzMDE1NTkxMTYxMDg4OTI2MQ%3D%3D.2&se=7
1962,1529851296936846436_790438211,0,-0.330008509,3,-0.924998352,1,0,0,http://scontent-icn1-1.cdninstagram.com/t51.2885-15/e35/18812618_294681627646277_390913582386118656_n.jpg?ig_cache_key=MTUyOTg1MDQxMzQ4MTk4NzcyNQ%3D%3D.2&se=7
